n_in,n_delays,noise_std,max_delay,tau_mem,r_mu,r_std,seed,test_acc
256,16,0.00,200,0.015,500000000000,0.4,42,0.8629
256,16,0.00,200,0.015,500000000000,0.4,50,0.8616
256,16,0.00,200,0.015,500000000000,0.4,9,0.8754
256,16,0.05,200,0.015,500000000000,0.4,42,0.8616
256,16,0.05,200,0.015,500000000000,0.4,50,0.8625
256,16,0.05,200,0.015,500000000000,0.4,9,0.8562
256,16,0.10,200,0.015,500000000000,0.4,42,0.8246
256,16,0.10,200,0.015,500000000000,0.4,50,0.8232
256,16,0.10,200,0.015,500000000000,0.4,9,0.8138
256,16,0.15,200,0.015,500000000000,0.4,42,0.7768
256,16,0.15,200,0.015,500000000000,0.4,50,0.7719
256,16,0.15,200,0.015,500000000000,0.4,9,0.7714
256,16,0.20,200,0.015,500000000000,0.4,42,0.7098
256,16,0.20,200,0.015,500000000000,0.4,50,0.7272
256,16,0.20,200,0.015,500000000000,0.4,9,0.7192
700,16,0.00,200,0.020,500000000000,0.4,42,0.9027
700,16,0.00,200,0.020,500000000000,0.4,50,0.896
700,16,0.00,200,0.020,500000000000,0.4,9,0.9045
700,16,0.05,200,0.020,500000000000,0.4,42,0.8848
700,16,0.05,200,0.020,500000000000,0.4,50,0.9
700,16,0.05,200,0.020,500000000000,0.4,9,0.9071
700,16,0.10,200,0.020,500000000000,0.4,42,0.8665
700,16,0.10,200,0.020,500000000000,0.4,50,0.8732
700,16,0.10,200,0.020,500000000000,0.4,9,0.8763
700,16,0.15,200,0.020,500000000000,0.4,42,0.8286
700,16,0.15,200,0.020,500000000000,0.4,50,0.8223
700,16,0.15,200,0.020,500000000000,0.4,9,0.842
700,16,0.20,200,0.020,500000000000,0.4,42,0.7888
700,16,0.20,200,0.020,500000000000,0.4,50,0.7714
700,16,0.20,200,0.020,500000000000,0.4,9,0.7924
